Name,Description
Bank Account Number generator,The Bank Account Number tool generates a random bank account number for a bank.
Train Ticket Purchase,"The Train Ticket Purchase tool gets train tickets for a train, provided from and to stations, and date information."
The Cricket Score tool,The Cricket Score tool gets the score for a match that happened at a given location and date.
Book Review,The Book Review tool gets the top-rated book reviews for a particular book.
Grocery Shopping with discounts,The Grocery Shopping tool calculates the expense of grocery shopping based on the menu.
Stock Price at location and date,The Stock Price tool gets the stock price for a company at a given location and date.
Movie Recommendation,"The Movie Recommendation tool recommends movies based on the user's age, preferred genres, and the actors"
News,The News tool gets the top news for a particular topic or query.
Age by date,The Age tool gets the age of a person given their name and date.
Sun-Rise Time tool,Sun Rise Time tool computes the time at which the sun rises at a given location and date.
Taxi Booking tool,"The Taxi Booking tool books a taxi for a given location, date, and car model."
Birthday Date of a given person,BirthdayDate tool is used to get the birthday date of a given person.
Stock Trading,Makes a stock trading transaction.
Stock Name by Sector,The Stock Name tool gets the stocks whose price is less than given number in a particular sector
Bank Account Balance Finder,"The Bank Account Balance tool returns the balance in a user's bank account at a given date, provided the name of the bank account."
Travel Cost compute,The Travel Cost tool calculates the cost of travel from one city to another given travel dates.
Daily Horoscope Tool,The Daily Horoscope tool returns the daily horoscope for a user for the current day.
Birthday Date,Gets the birthday date given name
Sun Rise Time,The Sun rise time tool gets the sun rise time at a given location on a given date
Travel Distance tool,Travel Distance tool computes the distance between two locations.
Language Translate,Translates the given text from one language to another language.
Airline Seat Selector by airline,"The Airline Seat Selector tool returns a seat for a given airline, flight number, date and class."
Traffic Report for a location and date,The Traffic Report tool reports the traffic for a given location and date.
Train Ticket Purchase With Seats,"The Train Ticket Purchase tool books train tickets for a particular train given its number, origin, destination stations, seat numbers, class preference, and date information."
Car Finder,"The Car Finder tool finds the cars based on the model, make and the search radius."
Movie Review By Date,The Movie Review tool gets top-rated movie reviews for a particular movie that are published on this date.
Book Review By Date,The Book Review tool gets the top-rated book reviews for a particular book that are published on this date.
Hotel Reservations tool,"The Hotel Reservations tool books a room in a hotel for a given location, date, and number of nights."
Shipping cost tool,The Shipping tool computes the cost to ship a product from a location to another.
Convert Currency,The Currency Converter tool converts one currency to another.
Travel Distance between two locations,The Travel Distance tool calculates the distance between two locations.
Location,Gets the location of a place
Pizza Order,The Pizza Order tool orders a pizza with provided toppings and size.
Translate from one to other,Translates from one language to another
Travel Duration,Returns the travel duration between two locations.
The Currency Converter,The Currency Converter tool converts currency from one to another.
Car,The Car tool gets the car model for a given car number plate.
Stock Name,The Stock Name tool gets the stocks whose price is less than given number
Stock buy,The Stock Trading tool allows users to buy stocks on a given date.
Calculator Expression,The Calculator tool calculates the given expression.
Sun Set Time,The Sun set time tool gets the sun set time at a given location on a given date
Book Review By Day,The Book Review tool gets the top-rated book reviews for a particular book that are published on this day.
